Profile 1;Profile 1;
x;y;
[m];[m];
0;1.5310899e-08;
1.5889719e-08;1.5339309e-08;
3.1779438e-08;1.5465138e-08;
4.7669157e-08;1.5418472e-08;
6.3558876e-08;1.5266231e-08;
7.9448595e-08;1.5251343e-08;
9.5338314e-08;1.5264048e-08;
1.1122803e-07;1.5423618e-08;
1.2711775e-07;1.5511405e-08;
1.4300747e-07;1.548648e-08;
1.5889719e-07;1.5483189e-08;
1.7478691e-07;1.5328878e-08;
1.9067663e-07;1.5115694e-08;
2.0656635e-07;1.4900949e-08;
2.2245607e-07;1.4731118e-08;
2.3834579e-07;1.4383098e-08;
2.542355e-07;1.3870788e-08;
2.7012522e-07;1.3105822e-08;
2.8601494e-07;1.2158006e-08;
3.0190466e-07;1.0716485e-08;
3.1779438e-07;8.8015875e-09;
3.336841e-07;6.8554758e-09;
3.4957382e-07;5.0659153e-09;
3.6546354e-07;3.789281e-09;
3.8135326e-07;2.801657e-09;
3.9724298e-07;2.1707342e-09;
4.1313269e-07;1.8759088e-09;
4.2902241e-07;1.678047e-09;
4.4491213e-07;1.8310541e-09;
4.6080185e-07;2.6692708e-09;
4.7669157e-07;4.0018322e-09;
4.9258129e-07;5.4874734e-09;
5.0847101e-07;7.0245627e-09;
5.2436073e-07;8.807376e-09;
5.4025045e-07;1.0593186e-08;
5.5614017e-07;1.2205961e-08;
5.7202989e-07;1.302659e-08;
5.879196e-07;1.3525505e-08;
6.0380932e-07;1.3913713e-08;
6.1969904e-07;1.4103148e-08;
6.3558876e-07;1.4285585e-08;
6.5147848e-07;1.4586212e-08;
6.673682e-07;1.4813379e-08;
6.8325792e-07;1.4958138e-08;
6.9914764e-07;1.5110293e-08;
7.1503736e-07;1.5208787e-08;
7.3092708e-07;1.5212935e-08;
7.4681679e-07;1.525443e-08;
7.6270651e-07;1.532512e-08;
7.7859623e-07;1.5278305e-08;
7.9448595e-07;1.5206408e-08;
8.1037567e-07;1.5208226e-08;
8.2626539e-07;1.5220294e-08;
