Height distribution;Height distribution;
z;ρ;
[m];[m<sup>-1</sup>];
6.5839401e-09;26060028;
6.6081722e-09;30610192;
6.6324043e-09;33092100;
6.6566365e-09;31851146;
6.6808686e-09;34953530;
6.7051008e-09;39090043;
6.7293329e-09;41571950;
6.7535651e-09;45708462;
6.7777972e-09;56463395;
6.8020293e-09;54188313;
6.8262615e-09;55222441;
6.8504936e-09;57911174;
6.8747258e-09;69079758;
6.8989579e-09;72388968;
6.92319e-09;80248341;
6.9474222e-09;82523423;
6.9716543e-09;89348669;
6.9958865e-09;89762320;
7.0201186e-09;1.0858345e+08;
7.0443508e-09;1.1106536e+08;
7.0685829e-09;1.2244077e+08;
7.092815e-09;1.243022e+08;
7.1170472e-09;1.3567761e+08;
7.1412793e-09;1.4415746e+08;
7.1655115e-09;1.5036223e+08;
7.1897436e-09;1.5966938e+08;
7.2139758e-09;1.7662908e+08;
7.2382079e-09;1.6835606e+08;
7.26244e-09;1.8634989e+08;
7.2866722e-09;1.9400243e+08;
7.3109043e-09;2.0248228e+08;
7.3351365e-09;2.2564675e+08;
7.3593686e-09;2.3433343e+08;
7.3836008e-09;2.4798392e+08;
7.4078329e-09;2.6618458e+08;
7.432065e-09;2.8045554e+08;
7.4562972e-09;2.8645349e+08;
7.4805293e-09;3.0775653e+08;
7.5047615e-09;3.0299954e+08;
7.5289936e-09;3.3836672e+08;
7.5532258e-09;3.6587453e+08;
7.5774579e-09;3.826274e+08;
7.60169e-09;3.9048677e+08;
7.6259222e-09;4.2709491e+08;
7.6501543e-09;4.3702254e+08;
7.6743865e-09;4.5191398e+08;
7.6986186e-09;4.7921497e+08;
7.7228507e-09;5.0217261e+08;
7.7470829e-09;5.3898757e+08;
7.771315e-09;5.2533708e+08;
7.7955472e-09;5.7642301e+08;
7.8197793e-09;6.1323797e+08;
7.8440115e-09;6.1840861e+08;
7.8682436e-09;6.0930828e+08;
7.8924757e-09;6.3764339e+08;
7.9167079e-09;6.4591642e+08;
7.94094e-09;6.6763311e+08;
7.9651722e-09;6.8542011e+08;
7.9894043e-09;6.6742628e+08;
8.0136365e-09;6.7880169e+08;
8.0378686e-09;6.8583376e+08;
8.0621007e-09;6.9245218e+08;
8.0863329e-09;6.6866724e+08;
8.110565e-09;6.7900852e+08;
8.1347972e-09;6.6018739e+08;
8.1590293e-09;6.3950482e+08;
8.1832615e-09;6.3371371e+08;
8.2074936e-09;6.053786e+08;
8.2317257e-09;5.8573016e+08;
8.2559579e-09;5.4333091e+08;
8.28019e-09;5.5036298e+08;
8.3044222e-09;4.9989753e+08;
8.3286543e-09;5.0734325e+08;
8.3528864e-09;4.6783956e+08;
8.3771186e-09;4.4343413e+08;
8.4013507e-09;4.0000075e+08;
8.4255829e-09;3.826274e+08;
8.449815e-09;3.5925611e+08;
8.4740472e-09;3.4022815e+08;
8.4982793e-09;3.1354764e+08;
8.5225114e-09;3.0899748e+08;
8.5467436e-09;3.0155176e+08;
8.5709757e-09;2.6908013e+08;
8.5952079e-09;2.6246171e+08;
8.61944e-09;2.421928e+08;
8.6436722e-09;2.2109659e+08;
8.6679043e-09;2.2936961e+08;
8.6921364e-09;2.1261674e+08;
8.7163686e-09;2.0268911e+08;
8.7406007e-09;1.9710482e+08;
8.7648329e-09;1.9152053e+08;
8.789065e-09;1.8531576e+08;
8.8132972e-09;1.8738401e+08;
8.8375293e-09;1.7993829e+08;
8.8617614e-09;1.8117924e+08;
8.8859936e-09;1.6380589e+08;
8.9102257e-09;1.6732193e+08;
8.9344579e-09;1.8200655e+08;
8.95869e-09;1.6525367e+08;
8.9829222e-09;1.5760112e+08;
9.0071543e-09;1.5511922e+08;
9.0313864e-09;1.5573969e+08;
9.0556186e-09;1.6215129e+08;
9.0798507e-09;1.5305096e+08;
9.1040829e-09;1.5470557e+08;
9.128315e-09;1.5863525e+08;
9.1525471e-09;1.2967966e+08;
9.1767793e-09;1.4064142e+08;
9.2010114e-09;1.4333016e+08;
9.2252436e-09;1.404346e+08;
9.2494757e-09;1.3877999e+08;
9.2737079e-09;1.3650491e+08;
9.29794e-09;1.4539841e+08;
9.3221721e-09;1.3898682e+08;
9.3464043e-09;1.3691856e+08;
9.3706364e-09;1.3753904e+08;
9.3948686e-09;1.2988649e+08;
9.4191007e-09;1.3422983e+08;
9.4433329e-09;1.3526396e+08;
9.467565e-09;1.3567761e+08;
9.4917971e-09;1.3050697e+08;
9.5160293e-09;1.3216157e+08;
9.5402614e-09;1.3485031e+08;
9.5644936e-09;1.3815952e+08;
9.5887257e-09;1.3919364e+08;
9.6129579e-09;1.3691856e+08;
9.63719e-09;1.4808715e+08;
9.6614221e-09;1.4146873e+08;
9.6856543e-09;1.3609126e+08;
9.7098864e-09;1.4022777e+08;
9.7341186e-09;1.3712539e+08;
9.7583507e-09;1.4312333e+08;
9.7825828e-09;1.3691856e+08;
9.806815e-09;1.4622571e+08;
9.8310471e-09;1.4105507e+08;
9.8552793e-09;1.4953492e+08;
9.8795114e-09;1.5263731e+08;
9.9037436e-09;1.5429191e+08;
9.9279757e-09;1.509827e+08;
9.9522078e-09;1.6235811e+08;
9.97644e-09;1.6028986e+08;
1.0000672e-08;1.5118953e+08;
1.0024904e-08;1.6173764e+08;
1.0049136e-08;1.4891445e+08;
1.0073369e-08;1.4643254e+08;
1.0097601e-08;1.4457111e+08;
1.0121833e-08;1.3919364e+08;
1.0146065e-08;1.3774586e+08;
1.0170297e-08;1.3712539e+08;
1.0194529e-08;1.2719776e+08;
1.0218761e-08;1.2761141e+08;
1.0242994e-08;1.0982441e+08;
1.0267226e-08;1.0692885e+08;
1.0291458e-08;1.154087e+08;
1.031569e-08;1.1271996e+08;
1.0339922e-08;1.1582235e+08;
1.0364154e-08;1.2223394e+08;
1.0388386e-08;1.1106536e+08;
1.0412619e-08;1.2078616e+08;
1.0436851e-08;1.1230631e+08;
1.0461083e-08;1.1271996e+08;
1.0485315e-08;1.081698e+08;
1.0509547e-08;1.0672202e+08;
1.0533779e-08;1.0858345e+08;
1.0558011e-08;1.081698e+08;
1.0582244e-08;1.001036e+08;
1.0606476e-08;92864704;
1.0630708e-08;88935017;
1.065494e-08;76732306;
1.0679172e-08;64943245;
1.0703404e-08;58531651;
1.0727636e-08;58531651;
1.0751869e-08;51292754;
1.0776101e-08;48810847;
1.0800333e-08;39503694;
1.0824565e-08;33505751;
1.0848797e-08;31230669;
1.0873029e-08;27507808;
1.0897261e-08;28748761;
1.0921494e-08;23578121;
1.0945726e-08;21303039;
1.0969958e-08;19441608;
1.099419e-08;20475737;
1.1018422e-08;18614306;
1.1042654e-08;16546050;
1.1066886e-08;17787003;
1.1091119e-08;16752875;
1.1115351e-08;15511922;
1.1139583e-08;12409537;
1.1163815e-08;16546050;
1.1188047e-08;13857317;
1.1212279e-08;13857317;
1.1236511e-08;11375409;
1.1260744e-08;14064142;
1.1284976e-08;13443665;
1.1309208e-08;12409537;
1.133344e-08;11582235;
1.1357672e-08;10754932;
1.1381904e-08;11789060;
1.1406136e-08;10548107;
1.1430369e-08;9307153;
1.1454601e-08;10961758;
1.1478833e-08;12202712;
1.1503065e-08;10961758;
